product_id,product_name,category,store_id,store_name,city,stock_level,effective_reorder_threshold,recent_7_day_quantity_sold,recent_30_day_quantity_sold,recent_daily_sales_velocity,days_of_stock_remaining,shelf_life_days,supplier_id,last_sale_date,reason,trigger,evidence
P101,Milk,Dairy,S1,Hyderabad Central,Hyderabad,55,20,51.0,282,7.285714285714286,7.549019607843137,7,SUP1,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=55, recent_30_day_sales=282, shelf_life_days=7, days_of_stock=7.55"
P102,Bread,Bakery,S1,Hyderabad Central,Hyderabad,5,15,3.0,10,0.42857142857142855,11.666666666666668,3,SUP2,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=5, recent_30_day_sales=10, shelf_life_days=3, days_of_stock=11.67"
P102,Bread,Bakery,S2,Vijayawada Branch,Vijayawada,5,15,5.0,12,0.7142857142857143,7.0,3,SUP2,2026-04-24,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=5, recent_30_day_sales=12, shelf_life_days=3, days_of_stock=7.0"
P102,Bread,Bakery,S3,Guntur Branch,Guntur,8,15,0.0,6,0.2,40.0,3,SUP2,2026-04-15,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=8, recent_30_day_sales=6, shelf_life_days=3, days_of_stock=40.0"
P105,Eggs (12 pack),Dairy,S1,Hyderabad Central,Hyderabad,150,25,32.0,190,4.571428571428571,32.8125,10,SUP1,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=150, recent_30_day_sales=190, shelf_life_days=10, days_of_stock=32.81"
P105,Eggs (12 pack),Dairy,S2,Vijayawada Branch,Vijayawada,80,25,27.0,142,3.857142857142857,20.74074074074074,10,SUP1,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=80, recent_30_day_sales=142, shelf_life_days=10, days_of_stock=20.74"
P105,Eggs (12 pack),Dairy,S3,Guntur Branch,Guntur,60,25,24.0,130,3.4285714285714284,17.5,10,SUP1,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=60, recent_30_day_sales=130, shelf_life_days=10, days_of_stock=17.5"
P106,Biscuits Pack,Snacks,S1,Hyderabad Central,Hyderabad,300,40,9.0,46,1.2857142857142858,233.33333333333331,120,SUP5,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=300, recent_30_day_sales=46, shelf_life_days=120, days_of_stock=233.33"
P106,Biscuits Pack,Snacks,S2,Vijayawada Branch,Vijayawada,120,40,5.0,38,0.7142857142857143,168.0,120,SUP5,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=120, recent_30_day_sales=38, shelf_life_days=120, days_of_stock=168.0"
P109,Curd,Dairy,S1,Hyderabad Central,Hyderabad,40,15,23.0,147,3.2857142857142856,12.173913043478262,5,SUP1,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=40, recent_30_day_sales=147, shelf_life_days=5, days_of_stock=12.17"
