product_id,product_name,category,store_id,store_name,city,stock_level,effective_reorder_threshold,recent_7_day_quantity_sold,recent_30_day_quantity_sold,recent_daily_sales_velocity,days_of_stock_remaining,shelf_life_days,supplier_id,last_sale_date,reason,trigger,evidence
P101,Milk,Dairy,S1,Hyderabad Central,Hyderabad,55,20,13.0,244,1.8571428571428572,29.615384615384613,7,SUP1,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=1.86, cutoff=0.86"
P101,Milk,Dairy,S2,Vijayawada Branch,Vijayawada,22,20,7.0,210,1.0,22.0,7,SUP1,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=1.0, cutoff=0.86"
P101,Milk,Dairy,S3,Guntur Branch,Guntur,37,20,9.0,176,1.2857142857142858,28.777777777777775,7,SUP1,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=1.29, cutoff=0.86"
P104,Cooking Oil 1L,Grocery,S1,Hyderabad Central,Hyderabad,12,10,6.0,154,0.8571428571428571,14.0,365,SUP3,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
P105,Eggs (12 pack),Dairy,S1,Hyderabad Central,Hyderabad,150,25,8.0,163,1.1428571428571428,131.25,10,SUP1,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=1.14, cutoff=0.86"
P105,Eggs (12 pack),Dairy,S2,Vijayawada Branch,Vijayawada,80,25,8.0,120,1.1428571428571428,70.0,10,SUP1,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=1.14, cutoff=0.86"
P107,Soft Drink 1L,Beverages,S1,Hyderabad Central,Hyderabad,55,20,25.0,253,3.5714285714285716,15.399999999999999,180,SUP5,2026-04-24,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=3.57, cutoff=0.86"
P107,Soft Drink 1L,Beverages,S2,Vijayawada Branch,Vijayawada,45,20,8.0,194,1.1428571428571428,39.375,180,SUP5,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=1.14, cutoff=0.86"
P107,Soft Drink 1L,Beverages,S3,Guntur Branch,Guntur,25,20,6.0,178,0.8571428571428571,29.166666666666668,180,SUP5,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
P109,Curd,Dairy,S1,Hyderabad Central,Hyderabad,40,15,6.0,130,0.8571428571428571,46.66666666666667,5,SUP1,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
P109,Curd,Dairy,S2,Vijayawada Branch,Vijayawada,18,15,7.0,108,1.0,18.0,5,SUP1,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=1.0, cutoff=0.86"
P112,Bananas,Fruits,S1,Hyderabad Central,Hyderabad,30,10,6.0,138,0.8571428571428571,35.0,4,SUP4,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
P113,Apples,Fruits,S1,Hyderabad Central,Hyderabad,1,15,48.0,163,6.857142857142857,0.14583333333333334,10,SUP4,2026-04-28,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=6.86, cutoff=0.86"
P113,Apples,Fruits,S3,Guntur Branch,Guntur,16,15,6.0,89,0.8571428571428571,18.666666666666668,10,SUP4,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
P115,Potatoes,Vegetables,S1,Hyderabad Central,Hyderabad,90,25,6.0,134,0.8571428571428571,105.0,15,SUP4,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
P115,Potatoes,Vegetables,S2,Vijayawada Branch,Vijayawada,35,25,6.0,106,0.8571428571428571,40.833333333333336,15,SUP4,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
P119,Tea Powder,Grocery,S1,Hyderabad Central,Hyderabad,140,20,6.0,120,0.8571428571428571,163.33333333333334,365,SUP3,2026-04-21,recent sales velocity is high relative to this dataset,recent_daily_sales_velocity >= percentile_0.75,"recent_daily_velocity=0.86, cutoff=0.86"
