decision_id,recommendation_id,decision,decided_at,recommendation_type,product_id,product_name,store_id,source_agent,manager_note,rejection_reason,edited_values_json,execution_status,action_summary
,REC00019,approved,2026-04-23T12:43:55,discount,P106,Biscuits Pack,S1,,,,,,
,REC00001,approved,2026-04-27T09:33:03,discount,P103,Rice 1kg,S1,,,,,,
,REC00007,approved,2026-04-27T09:41:13,discount,P114,Tomatoes,S1,,,,,,
DEC202604271420108AD079,REC00106,approved,2026-04-27T14:20:10,reorder,P101,Milk,S3,procurement_agent,,,"{""discount_percent"": 20.0, ""suggested_quantity"": 19, ""source_store"": """", ""target_store"": ""S3"", ""priority"": ""low"", ""action_text"": ""Reorder 19 units."", ""manager_note"": """"}",executed,Added 19 units to store S3 through procurement.
DEC20260427142029519849,REC00107,approved,2026-04-27T14:20:29,reorder,P102,Bread,S1,procurement_agent,,,"{""discount_percent"": 20.0, ""suggested_quantity"": 12, ""source_store"": """", ""target_store"": ""S1"", ""priority"": ""low"", ""action_text"": ""Reorder 12 units."", ""manager_note"": """"}",executed,Added 12 units to store S1 through procurement.
DEC202604271421026F9798,REC00108,approved,2026-04-27T14:21:02,reorder,P102,Bread,S2,procurement_agent,,,"{""discount_percent"": 20.0, ""suggested_quantity"": 25, ""source_store"": """", ""target_store"": ""S2"", ""priority"": ""medium"", ""action_text"": ""Reorder 25 units."", ""manager_note"": """"}",executed,Added 25 units to store S2 through procurement.
DEC20260427143459CFD7C5,REC00109,approved,2026-04-27T14:34:59,reorder,P102,Bread,S3,procurement_agent,,,"{""discount_percent"": 20.0, ""suggested_quantity"": 15, ""source_store"": """", ""target_store"": ""S3"", ""priority"": ""medium"", ""action_text"": ""Reorder 15 units."", ""manager_note"": """"}",executed,Added 15 units to store S3 through procurement.
DEC20260427143510599D05,REC00110,approved,2026-04-27T14:35:10,reorder,P107,Soft Drink 1L,S1,procurement_agent,,,"{""discount_percent"": 20.0, ""suggested_quantity"": 50, ""source_store"": """", ""target_store"": ""S1"", ""priority"": ""high"", ""action_text"": ""Reorder 50 units."", ""manager_note"": """"}",executed,Added 50 units to store S1 through procurement.
DEC202604271435210E4416,REC00111,approved,2026-04-27T14:35:21,reorder,P109,Curd,S3,procurement_agent,,,"{""discount_percent"": 20.0, ""suggested_quantity"": 9, ""source_store"": """", ""target_store"": ""S3"", ""priority"": ""low"", ""action_text"": ""Reorder 9 units."", ""manager_note"": """"}",executed,Added 9 units to store S3 through procurement.
DEC2026042714353076B693,REC00112,approved,2026-04-27T14:35:30,reorder,P111,Cheese,S3,procurement_agent,,,"{""discount_percent"": 20.0, ""suggested_quantity"": 9, ""source_store"": """", ""target_store"": ""S3"", ""priority"": ""low"", ""action_text"": ""Reorder 9 units."", ""manager_note"": """"}",executed,Added 9 units to store S3 through procurement.
