product_id,store_id,stock_level,reorder_threshold,last_updated,product_name,category,cost_price,selling_price,store_name,city,inventory_value
P101,S1,55,20,2026-04-22,Milk,Dairy,40,60.0,Hyderabad Central,Hyderabad,3300.0
P101,S2,22,20,2026-04-22,Milk,Dairy,40,60.0,Vijayawada Branch,Vijayawada,1320.0
P101,S3,37,20,2026-04-27,Milk,Dairy,40,60.0,Guntur Branch,Guntur,2220.0
P102,S1,17,15,2026-04-27,Bread,Bakery,20,31.5,Hyderabad Central,Hyderabad,535.5
P102,S2,30,15,2026-04-27,Bread,Bakery,20,31.5,Vijayawada Branch,Vijayawada,945.0
P102,S3,19,15,2026-04-27,Bread,Bakery,20,31.5,Guntur Branch,Guntur,598.5
P103,S1,220,30,2026-04-22,Rice 1kg,Grains,50,80.0,Hyderabad Central,Hyderabad,17600.0
P103,S2,90,30,2026-04-22,Rice 1kg,Grains,50,80.0,Vijayawada Branch,Vijayawada,7200.0
P103,S3,70,30,2026-04-22,Rice 1kg,Grains,50,80.0,Guntur Branch,Guntur,5600.0
P104,S1,12,10,2026-04-22,Cooking Oil 1L,Grocery,120,180.0,Hyderabad Central,Hyderabad,2160.0
P104,S2,35,10,2026-04-22,Cooking Oil 1L,Grocery,120,180.0,Vijayawada Branch,Vijayawada,6300.0
P104,S3,28,10,2026-04-22,Cooking Oil 1L,Grocery,120,180.0,Guntur Branch,Guntur,5040.0
P105,S1,150,25,2026-04-22,Eggs (12 pack),Dairy,60,90.0,Hyderabad Central,Hyderabad,13500.0
P105,S2,80,25,2026-04-22,Eggs (12 pack),Dairy,60,90.0,Vijayawada Branch,Vijayawada,7200.0
P105,S3,60,25,2026-04-22,Eggs (12 pack),Dairy,60,90.0,Guntur Branch,Guntur,5400.0
P106,S1,250,40,2026-05-15,Biscuits Pack,Snacks,10,20.0,Hyderabad Central,Hyderabad,5000.0
P106,S2,120,40,2026-04-22,Biscuits Pack,Snacks,10,20.0,Vijayawada Branch,Vijayawada,2400.0
P106,S3,100,40,2026-04-22,Biscuits Pack,Snacks,10,20.0,Guntur Branch,Guntur,2000.0
P107,S1,55,20,2026-04-27,Soft Drink 1L,Beverages,30,50.0,Hyderabad Central,Hyderabad,2750.0
P107,S2,45,20,2026-04-22,Soft Drink 1L,Beverages,30,50.0,Vijayawada Branch,Vijayawada,2250.0
P107,S3,25,20,2026-04-22,Soft Drink 1L,Beverages,30,50.0,Guntur Branch,Guntur,1250.0
P108,S1,79,20,2026-04-24,Chocolates,Snacks,20,40.0,Hyderabad Central,Hyderabad,3160.0
P108,S2,35,20,2026-04-22,Chocolates,Snacks,20,40.0,Vijayawada Branch,Vijayawada,1400.0
P108,S3,30,20,2026-04-22,Chocolates,Snacks,20,40.0,Guntur Branch,Guntur,1200.0
P109,S1,40,15,2026-04-22,Curd,Dairy,30,50.0,Hyderabad Central,Hyderabad,2000.0
P109,S2,18,15,2026-04-22,Curd,Dairy,30,50.0,Vijayawada Branch,Vijayawada,900.0
P109,S3,24,15,2026-04-27,Curd,Dairy,30,50.0,Guntur Branch,Guntur,1200.0
P110,S1,60,20,2026-04-22,Butter,Dairy,80,120.0,Hyderabad Central,Hyderabad,7200.0
P110,S2,30,20,2026-04-22,Butter,Dairy,80,120.0,Vijayawada Branch,Vijayawada,3600.0
P110,S3,10,20,2026-05-15,Butter,Dairy,80,120.0,Guntur Branch,Guntur,1200.0
P111,S1,70,20,2026-04-22,Cheese,Dairy,150,250.0,Hyderabad Central,Hyderabad,17500.0
P111,S2,22,20,2026-04-22,Cheese,Dairy,150,250.0,Vijayawada Branch,Vijayawada,5500.0
P111,S3,27,20,2026-04-27,Cheese,Dairy,150,250.0,Guntur Branch,Guntur,6750.0
