timestamp,report_type,branch_filter,date_range,csv_path,pdf_path,pdf_status,message
2026-05-19T15:17:24,inventory,"Hyderabad Central (S1, Hyderabad)",21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_151724_496995.csv,,failed,"PDF creation failed, so only the CSV report will be attached: No module named 'reportlab'"
2026-05-19T15:20:08,inventory,All Branches,21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_152007_866157.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_152007_866157.pdf,created,
2026-05-19T15:21:21,inventory,"Hyderabad Central (S1, Hyderabad)",21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_152121_831460.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_152121_831460.pdf,created,
2026-05-19T15:29:02,inventory,All Branches,21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_152902_272475.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_152902_272475.pdf,created,
2026-05-19T15:46:55,inventory,All Branches,21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_154654_926112.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_154654_926112.pdf,created,
2026-05-19T15:55:44,inventory,All Branches,21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_155543_823203.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260519_155543_823203.pdf,created,
2026-05-20T15:16:08,inventory,All Branches,21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260520_151606_866308.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260520_151606_866308.pdf,created,
2026-05-25T13:58:48,inventory,All Branches,All dates to All dates,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260525_135847_554840.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260525_135847_554840.pdf,created,
2026-05-25T14:09:25,inventory,All Branches,21 Feb 2026 to 15 May 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260525_140924_826774.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260525_140924_826774.pdf,created,
2026-06-01T11:59:00,inventory,All Branches,21 Feb 2026 to 01 Jun 2026,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260601_115859_700364.csv,C:\Users\TS6206_SNEHAAL\Desktop\Ai-Retail-Inventory-Optimizer\data\processed\reports\inventory_report_20260601_115859_700364.pdf,created,
