product_id,product_name,category,store_id,store_name,city,stock_level,effective_reorder_threshold,recent_7_day_quantity_sold,recent_30_day_quantity_sold,recent_daily_sales_velocity,days_of_stock_remaining,shelf_life_days,supplier_id,last_sale_date,reason,trigger,evidence
102,16 oz Clear Cold Cups Case,Foodservice Disposables,1,Mock Distribution Branch - Dallas,Dallas,64,40,1.0,1.0,0.14285714285714285,448.0,0,3,2026-06-12,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.14, cutoff=7.93"
202,Multi-Surface Cleaner Gallon Case,Janitorial Supplies,1,Mock Distribution Branch - Dallas,Dallas,54,30,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
203,Disinfectant Wipes Bucket,Janitorial Supplies,1,Mock Distribution Branch - Dallas,Dallas,110,30,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
204,Hardwound Paper Towels Case,Janitorial Supplies,1,Mock Distribution Branch - Dallas,Dallas,50,30,0.0,0.0,0.0,0.0,0,5,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
302,Safety Glasses Pack,Safety and PPE,1,Mock Distribution Branch - Dallas,Dallas,63,25,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
303,Disposable Face Masks Case,Safety and PPE,1,Mock Distribution Branch - Dallas,Dallas,80,25,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
304,High Visibility Safety Vest Pack,Safety and PPE,1,Mock Distribution Branch - Dallas,Dallas,105,25,0.0,0.0,0.0,0.0,0,5,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
401,Bottled Water 24 Pack Case,Breakroom Supplies,1,Mock Distribution Branch - Dallas,Dallas,95,35,0.0,0.0,0.0,0.0,0,2,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
402,Coffee Pods Box,Breakroom Supplies,1,Mock Distribution Branch - Dallas,Dallas,82,35,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
403,Copy Paper Case,Office Supplies,1,Mock Distribution Branch - Dallas,Dallas,60,20,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
102,16 oz Clear Cold Cups Case,Foodservice Disposables,2,Mock Distribution Branch - Plano,Plano,200,40,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
103,9 inch Paper Plates Case,Foodservice Disposables,2,Mock Distribution Branch - Plano,Plano,173,40,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
202,Multi-Surface Cleaner Gallon Case,Janitorial Supplies,2,Mock Distribution Branch - Plano,Plano,61,30,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
203,Disinfectant Wipes Bucket,Janitorial Supplies,2,Mock Distribution Branch - Plano,Plano,56,30,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
204,Hardwound Paper Towels Case,Janitorial Supplies,2,Mock Distribution Branch - Plano,Plano,82,30,0.0,0.0,0.0,0.0,0,5,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
302,Safety Glasses Pack,Safety and PPE,2,Mock Distribution Branch - Plano,Plano,62,25,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
303,Disposable Face Masks Case,Safety and PPE,2,Mock Distribution Branch - Plano,Plano,65,25,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
304,High Visibility Safety Vest Pack,Safety and PPE,2,Mock Distribution Branch - Plano,Plano,77,25,0.0,0.0,0.0,0.0,0,5,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
401,Bottled Water 24 Pack Case,Breakroom Supplies,2,Mock Distribution Branch - Plano,Plano,92,35,0.0,0.0,0.0,0.0,0,2,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
402,Coffee Pods Box,Breakroom Supplies,2,Mock Distribution Branch - Plano,Plano,61,35,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
403,Copy Paper Case,Office Supplies,2,Mock Distribution Branch - Plano,Plano,26,20,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
404,Pallet Stretch Film Case,Packaging Supplies,2,Mock Distribution Branch - Plano,Plano,95,25,52.0,165.0,7.428571428571429,12.788461538461538,0,5,2026-06-09,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=7.43, cutoff=7.93"
102,16 oz Clear Cold Cups Case,Foodservice Disposables,3,Mock Distribution Branch - Irving,Irving,53,40,0.0,0.0,0.0,0.0,0,3,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
103,9 inch Paper Plates Case,Foodservice Disposables,3,Mock Distribution Branch - Irving,Irving,104,40,0.0,0.0,0.0,0.0,0,4,,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=0.0, cutoff=7.93"
104,Compostable Takeout Containers Case,Foodservice Disposables,3,Mock Distribution Branch - Irving,Irving,65,40,55.0,194.0,7.857142857142857,8.272727272727273,0,5,2026-06-09,recent sales velocity is low relative to this dataset,recent_daily_sales_velocity <= percentile_0.25,"recent_daily_velocity=7.86, cutoff=7.93"
