sale_id,date,product_id,store_id,quantity_sold,selling_price
SALE000001,2026-02-21,P101,S1,7,60
SALE000002,2026-02-21,P103,S1,1,80
SALE000003,2026-02-21,P104,S1,5,180
SALE000004,2026-02-21,P105,S1,6,90
SALE000005,2026-02-21,P107,S1,8,50
SALE000006,2026-02-21,P108,S1,3,40
SALE000007,2026-02-21,P109,S1,7,50
SALE000008,2026-02-21,P110,S1,8,120
SALE000009,2026-02-21,P111,S1,5,250
SALE000010,2026-02-21,P112,S1,7,40
SALE000011,2026-02-21,P113,S1,3,120
SALE000012,2026-02-21,P114,S1,1,30
SALE000013,2026-02-21,P115,S1,5,35
SALE000014,2026-02-21,P116,S1,1,40
SALE000015,2026-02-21,P117,S1,1,20
SALE000016,2026-02-21,P118,S1,4,180
SALE000017,2026-02-21,P119,S1,3,300
SALE000018,2026-02-21,P120,S1,5,400
SALE000019,2026-02-21,P101,S2,8,60
SALE000020,2026-02-21,P103,S2,1,80
SALE000021,2026-02-21,P104,S2,6,180
SALE000022,2026-02-21,P105,S2,4,90
SALE000023,2026-02-21,P106,S2,1,20
SALE000024,2026-02-21,P107,S2,7,50
SALE000025,2026-02-21,P108,S2,2,40
SALE000026,2026-02-21,P109,S2,5,50
SALE000027,2026-02-21,P110,S2,5,120
SALE000028,2026-02-21,P111,S2,3,250
SALE000029,2026-02-21,P112,S2,4,40
SALE000030,2026-02-21,P113,S2,3,120
SALE000031,2026-02-21,P115,S2,6,35
SALE000032,2026-02-21,P116,S2,2,40
SALE000033,2026-02-21,P117,S2,2,20
SALE000034,2026-02-21,P118,S2,6,180
SALE000035,2026-02-21,P119,S2,3,300
SALE000036,2026-02-21,P120,S2,2,400
SALE000037,2026-02-21,P101,S3,8,60
SALE000038,2026-02-21,P103,S3,1,80
SALE000039,2026-02-21,P104,S3,5,180
SALE000040,2026-02-21,P105,S3,7,90
SALE000041,2026-02-21,P106,S3,1,20
SALE000042,2026-02-21,P107,S3,7,50
SALE000043,2026-02-21,P108,S3,3,40
SALE000044,2026-02-21,P109,S3,6,50
SALE000045,2026-02-21,P110,S3,6,120
SALE000046,2026-02-21,P111,S3,4,250
SALE000047,2026-02-21,P112,S3,4,40
SALE000048,2026-02-21,P113,S3,1,120
SALE000049,2026-02-21,P115,S3,3,35
SALE000050,2026-02-21,P116,S3,3,40
SALE000051,2026-02-21,P117,S3,2,20
SALE000052,2026-02-21,P118,S3,5,180
SALE000053,2026-02-21,P119,S3,5,300
SALE000054,2026-02-21,P120,S3,4,400
SALE000055,2026-02-22,P101,S1,8,60
SALE000056,2026-02-22,P103,S1,1,80
SALE000057,2026-02-22,P104,S1,8,180
SALE000058,2026-02-22,P105,S1,7,90
SALE000059,2026-02-22,P106,S1,2,20
SALE000060,2026-02-22,P107,S1,11,50
SALE000061,2026-02-22,P108,S1,5,40
SALE000062,2026-02-22,P109,S1,4,50
SALE000063,2026-02-22,P110,S1,3,120
SALE000064,2026-02-22,P111,S1,7,250
SALE000065,2026-02-22,P112,S1,5,40
SALE000066,2026-02-22,P113,S1,3,120
SALE000067,2026-02-22,P115,S1,3,35
SALE000068,2026-02-22,P117,S1,2,20
SALE000069,2026-02-22,P118,S1,3,180
SALE000070,2026-02-22,P119,S1,5,300
SALE000071,2026-02-22,P120,S1,7,400
SALE000072,2026-02-22,P101,S2,9,60
SALE000073,2026-02-22,P103,S2,3,80
SALE000074,2026-02-22,P104,S2,7,180
SALE000075,2026-02-22,P105,S2,7,90
SALE000076,2026-02-22,P106,S2,1,20
SALE000077,2026-02-22,P107,S2,8,50
SALE000078,2026-02-22,P108,S2,3,40
SALE000079,2026-02-22,P109,S2,3,50
SALE000080,2026-02-22,P110,S2,6,120
SALE000081,2026-02-22,P111,S2,2,250
SALE000082,2026-02-22,P112,S2,3,40
SALE000083,2026-02-22,P113,S2,2,120
SALE000084,2026-02-22,P115,S2,3,35
SALE000085,2026-02-22,P116,S2,3,40
SALE000086,2026-02-22,P117,S2,1,20
SALE000087,2026-02-22,P118,S2,7,180
SALE000088,2026-02-22,P119,S2,4,300
SALE000089,2026-02-22,P120,S2,5,400
SALE000090,2026-02-22,P101,S3,5,60
SALE000091,2026-02-22,P102,S3,1,35
SALE000092,2026-02-22,P103,S3,2,80
SALE000093,2026-02-22,P104,S3,7,180
SALE000094,2026-02-22,P105,S3,3,90
SALE000095,2026-02-22,P106,S3,2,20
SALE000096,2026-02-22,P107,S3,6,50
SALE000097,2026-02-22,P108,S3,3,40
SALE000098,2026-02-22,P109,S3,4,50
SALE000099,2026-02-22,P110,S3,4,120
SALE000100,2026-02-22,P111,S3,3,250
SALE000101,2026-02-22,P112,S3,4,40
SALE000102,2026-02-22,P113,S3,3,120
