transaction_id,date,transaction_type,product_id,store_id,quantity,source,remarks
TXN0000001,2026-04-22,inventory_snapshot,P101,S1,55,system_seed,Current inventory snapshot for S1
TXN0000002,2026-04-22,inventory_snapshot,P101,S2,22,system_seed,Current inventory snapshot for S2
TXN0000003,2026-04-22,inventory_snapshot,P101,S3,18,system_seed,Current inventory snapshot for S3
TXN0000004,2026-04-22,inventory_snapshot,P102,S1,5,system_seed,Current inventory snapshot for S1
TXN0000005,2026-04-22,inventory_snapshot,P102,S2,10,system_seed,Current inventory snapshot for S2
TXN0000006,2026-04-22,inventory_snapshot,P102,S3,8,system_seed,Current inventory snapshot for S3
TXN0000007,2026-04-22,inventory_snapshot,P103,S1,220,system_seed,Current inventory snapshot for S1
TXN0000008,2026-04-22,inventory_snapshot,P103,S2,90,system_seed,Current inventory snapshot for S2
TXN0000009,2026-04-22,inventory_snapshot,P103,S3,70,system_seed,Current inventory snapshot for S3
TXN0000010,2026-04-22,inventory_snapshot,P104,S1,12,system_seed,Current inventory snapshot for S1
TXN0000011,2026-04-22,inventory_snapshot,P104,S2,35,system_seed,Current inventory snapshot for S2
TXN0000012,2026-04-22,inventory_snapshot,P104,S3,28,system_seed,Current inventory snapshot for S3
TXN0000013,2026-04-22,inventory_snapshot,P105,S1,150,system_seed,Current inventory snapshot for S1
TXN0000014,2026-04-22,inventory_snapshot,P105,S2,80,system_seed,Current inventory snapshot for S2
TXN0000015,2026-04-22,inventory_snapshot,P105,S3,60,system_seed,Current inventory snapshot for S3
TXN0000016,2026-04-22,inventory_snapshot,P106,S1,300,system_seed,Current inventory snapshot for S1
TXN0000017,2026-04-22,inventory_snapshot,P106,S2,120,system_seed,Current inventory snapshot for S2
TXN0000018,2026-04-22,inventory_snapshot,P106,S3,100,system_seed,Current inventory snapshot for S3
TXN0000019,2026-04-22,inventory_snapshot,P107,S1,20,system_seed,Current inventory snapshot for S1
TXN0000020,2026-04-22,inventory_snapshot,P107,S2,45,system_seed,Current inventory snapshot for S2
TXN0000021,2026-04-22,inventory_snapshot,P107,S3,25,system_seed,Current inventory snapshot for S3
TXN0000022,2026-04-22,inventory_snapshot,P108,S1,80,system_seed,Current inventory snapshot for S1
TXN0000023,2026-04-22,inventory_snapshot,P108,S2,35,system_seed,Current inventory snapshot for S2
TXN0000024,2026-04-22,inventory_snapshot,P108,S3,30,system_seed,Current inventory snapshot for S3
TXN0000025,2026-04-22,inventory_snapshot,P109,S1,40,system_seed,Current inventory snapshot for S1
TXN0000026,2026-04-22,inventory_snapshot,P109,S2,18,system_seed,Current inventory snapshot for S2
TXN0000027,2026-04-22,inventory_snapshot,P109,S3,15,system_seed,Current inventory snapshot for S3
TXN0000028,2026-04-22,inventory_snapshot,P110,S1,60,system_seed,Current inventory snapshot for S1
